City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Pisco,PE,-13.7,-76.2167,69.8,78,0,8.05,clear sky
157,Markova,UA,48.6758,24.4138,51.8,54,0,2.24,clear sky
158,Biarritz,FR,43.4801,-1.5556,57.2,54,0,10.36,clear sky
159,Taoudenni,ML,22.6783,-3.9836,95.32,8,0,12.82,clear sky
160,Kodiak,US,57.79,-152.4072,42.8,81,90,11.5,moderate rain
161,Svetlogorsk,BY,52.6333,29.7333,46.22,73,90,5.46,overcast clouds
162,Pangkalanbuun,ID,-2.6833,111.6167,73.83,89,100,1.52,overcast clouds
163,Saskylakh,RU,71.9167,114.0833,3.42,93,99,9.24,overcast clouds
164,Cape Town,ZA,-33.9258,18.4232,78.8,27,0,10.36,clear sky
165,Komsomolskiy,UZ,40.4272,71.7189,60.8,51,77,2.3,broken clouds
166,Gimli,CA,50.6336,-96.9907,26.6,74,100,24.16,overcast clouds
167,Felipe Carrillo Puerto,MX,19.5833,-88.05,88.56,56,100,5.91,overcast clouds
168,Aklavik,CA,68.2191,-135.0107,30.2,74,1,6.91,clear sky
169,Kudahuvadhoo,MV,2.6708,72.8944,83.75,62,27,8.19,scattered clouds
170,Omboue,GA,-1.5746,9.2618,79.48,80,100,6.44,overcast clouds
171,Tres Lagoas,BR,-20.7511,-51.6783,90.19,33,0,8.72,clear sky
172,Tieling,CN,42.2931,123.8414,54.61,25,2,18.45,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,74.3,70,0,13.96,clear sky
174,Mangai,CD,-4.05,19.5333,78.03,76,99,1.9,overcast clouds
175,Cabedelo,BR,-6.9811,-34.8339,78.8,89,75,3.44,broken clouds
176,Matata,NZ,-37.8833,176.75,51.01,98,42,5.84,scattered clouds
177,Lagoa,PT,39.05,-27.9833,60.94,86,88,13.02,overcast clouds
178,Grindavik,IS,63.8424,-22.4338,37.4,87,75,28.77,broken clouds
179,Husavik,IS,66.0449,-17.3389,44.6,49,40,23.02,scattered clouds
180,Saint-Louis,SN,16.3333,-15.0,103.82,8,14,9.95,few clouds
181,Kaeo,NZ,-35.1,173.7833,55.99,92,42,2.62,scattered clouds
182,Hualmay,PE,-11.0964,-77.6139,73.22,73,57,9.69,broken clouds
183,Sola,VU,-13.8833,167.55,82.51,73,66,6.13,broken clouds
184,Bosaso,SO,11.2842,49.1816,82.62,80,34,5.55,scattered clouds
185,Torbay,CA,47.6666,-52.7314,39.0,100,90,23.02,light rain
186,Poya,NC,-21.35,165.15,72.5,87,45,4.94,scattered clouds
187,Fortuna,US,40.5982,-124.1573,50.0,100,1,5.32,clear sky
188,Bukama,CD,-9.2,25.85,71.65,81,56,3.71,broken clouds
189,Broome,US,42.2506,-75.833,53.6,50,40,9.22,scattered clouds
190,Lima,PE,-12.0432,-77.0282,73.0,83,40,4.61,scattered clouds
191,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,93,75,4.47,broken clouds
192,Matara,LK,5.9485,80.5353,79.41,82,93,5.5,overcast clouds
193,Makakilo City,US,21.3469,-158.0858,69.8,73,1,5.75,clear sky
194,Waddan,LY,29.1614,16.139,81.09,33,94,16.58,overcast clouds
195,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,90,12.66,overcast clouds
196,Chokurdakh,RU,70.6333,147.9167,10.94,92,100,18.25,overcast clouds
197,Chaplynka,UA,46.3651,33.5403,52.0,100,49,4.0,scattered clouds
198,Kouango,CF,4.9934,19.9619,83.53,51,67,2.3,broken clouds
199,Severo-Yeniseyskiy,RU,60.3725,93.0408,12.56,97,100,1.41,overcast clouds
200,Sept-Iles,CA,50.2001,-66.3821,39.99,70,75,10.36,broken clouds
201,Diamantina,BR,-18.2494,-43.6003,72.93,54,38,4.27,scattered clouds
202,Saint George,US,37.1041,-113.5841,63.0,22,1,3.44,clear sky
203,Yaan,NG,7.3833,8.5667,89.4,50,98,7.9,overcast clouds
204,Tilichiki,RU,60.4667,166.1,17.51,91,100,0.87,overcast clouds
205,Fort Nelson,CA,58.8053,-122.7002,32.0,100,40,3.44,fog
206,Chicama,PE,-7.8447,-79.1469,66.2,88,75,13.8,mist
207,Hirado,JP,33.3597,129.5531,51.01,27,20,1.01,few clouds
208,Bijapur,IN,16.8333,75.7,92.43,27,82,10.67,broken clouds
209,Kruisfontein,ZA,-34.0033,24.7314,73.0,38,0,3.22,clear sky
