City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Salalah,OM,81.27,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
351,Saint-Joseph,RE,77.0,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
355,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
357,Luebo,CD,77.18,overcast clouds,-5.35,21.4167,
360,Saldanha,ZA,77.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
364,Kavieng,PG,81.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
365,Cabinda,AO,81.19,light rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
368,Abu Dhabi,AE,84.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
371,Paracuru,BR,82.0,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
374,Kapoeta,SS,88.81,overcast clouds,4.7717,33.5903,Eastgate Hotel
375,Ilorin,NG,85.01,light rain,8.5,4.55,Ayala Suite Annex
377,Kattivakkam,IN,84.2,few clouds,13.2167,80.3167,Raj's villa
380,Carutapera,BR,76.77,moderate rain,-1.195,-46.02,Lidera
381,Lorengau,PG,79.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
385,Acari,PE,81.75,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
386,Bonthe,SL,84.9,broken clouds,7.5264,-12.505,Bonthe Holiday Village
388,Tarakan,ID,77.0,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
394,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
397,Namatanai,PG,80.71,light rain,-3.6667,152.4333,Namatanai Hotel
399,Mumford,GH,83.8,overcast clouds,5.2618,-0.759,Spanish Villa
404,Kota Kinabalu,MY,78.8,few clouds,5.9749,116.0724,Gaya Centre Hotel
410,Bubaque,GW,77.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
414,Mweka,CD,75.72,overcast clouds,-4.85,21.5667,
419,Jashpurnagar,IN,77.83,scattered clouds,22.9,84.15,Sagar Restaurant
420,Kutum,SD,83.19,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
425,Tomatlan,MX,87.08,clear sky,19.9333,-105.25,Norma franco
427,Tautira,PF,75.2,few clouds,-17.7333,-149.15,Pension Oaoa
430,Labuhan,ID,78.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
436,Lahij,YE,76.75,overcast clouds,13.1667,44.5833,
437,Berbera,SO,81.72,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
441,Samarai,PG,82.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
443,Keti Bandar,PK,81.28,broken clouds,24.1447,67.4497,Haji laloo memon house
447,Hambantota,LK,81.48,broken clouds,6.1241,81.1185,Bungalow 63
452,Mossoro,BR,83.25,overcast clouds,-5.1875,-37.3442,Hotel Valley
459,Acarau,BR,83.39,overcast clouds,-2.8856,-40.12,castelo pizzaria
464,Nizip,TR,77.0,broken clouds,37.0097,37.7942,gümüş apart
465,Mattru,SL,89.83,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
